Sequence 1	Sequence2	Number of deletions
COV000423	COV000423	0
COV002807	COV000423	0
COV007337	COV000423	0
COV011905	COV000423	0
COV012580	COV000423	0
COV025514	COV000423	0
COV028678	COV000423	16
COV028693	COV000423	9
COV000423	COV002807	0
COV002807	COV002807	0
COV007337	COV002807	0
COV011905	COV002807	0
COV012580	COV002807	0
COV025514	COV002807	0
COV028678	COV002807	16
COV028693	COV002807	9
COV000423	COV007337	0
COV002807	COV007337	0
COV007337	COV007337	0
COV011905	COV007337	0
COV012580	COV007337	0
COV025514	COV007337	0
COV028678	COV007337	16
COV028693	COV007337	9
COV000423	COV011905	0
COV002807	COV011905	0
COV007337	COV011905	0
COV011905	COV011905	0
COV012580	COV011905	0
COV025514	COV011905	0
COV028678	COV011905	16
COV028693	COV011905	9
COV000423	COV012580	0
COV002807	COV012580	0
COV007337	COV012580	0
COV011905	COV012580	0
COV012580	COV012580	0
COV025514	COV012580	0
COV028678	COV012580	16
COV028693	COV012580	9
COV000423	COV025514	0
COV002807	COV025514	0
COV007337	COV025514	0
COV011905	COV025514	0
COV012580	COV025514	0
COV025514	COV025514	0
COV028678	COV025514	16
COV028693	COV025514	9
COV000423	COV028678	16
COV002807	COV028678	16
COV007337	COV028678	16
COV011905	COV028678	16
COV012580	COV028678	16
COV025514	COV028678	16
COV028678	COV028678	0
COV028693	COV028678	7
COV000423	COV028693	9
COV002807	COV028693	9
COV007337	COV028693	9
COV011905	COV028693	9
COV012580	COV028693	9
COV025514	COV028693	9
COV028678	COV028693	7
COV028693	COV028693	0
