Sequence 1	Sequence2	Number of SNPs
COV013139	COV013139	0
COV013142	COV013139	17
COV013146	COV013139	1
COV013148	COV013139	17
COV013149	COV013139	18
COV013139	COV013142	17
COV013142	COV013142	0
COV013146	COV013142	16
COV013148	COV013142	0
COV013149	COV013142	1
COV013139	COV013146	1
COV013142	COV013146	16
COV013146	COV013146	0
COV013148	COV013146	16
COV013149	COV013146	17
COV013139	COV013148	17
COV013142	COV013148	0
COV013146	COV013148	16
COV013148	COV013148	0
COV013149	COV013148	1
COV013139	COV013149	18
COV013142	COV013149	1
COV013146	COV013149	17
COV013148	COV013149	1
COV013149	COV013149	0
