Sequence 1	Sequence2	Percentage of differences	NA
COV000423	COV000423	0	[0,0.05)
COV002807	COV000423	0.0376710895316228	[0,0.05)
COV007337	COV000423	0.0585994726047466	[0.05,0.1)
COV011905	COV000423	0.0795278556778703	[0.05,0.1)
COV012580	COV000423	0.0669708258339961	[0.05,0.1)
COV025514	COV000423	0.0795278556778703	[0.05,0.1)
COV028678	COV000423	0.163241387970365	[0.15,0.2)
COV028693	COV000423	0.125570298438743	[0.1,0.15)
COV000423	COV002807	0.0376710895316228	[0,0.05)
COV002807	COV002807	0	[0,0.05)
COV007337	COV002807	0.0627851492193713	[0.05,0.1)
COV011905	COV002807	0.0837135322924951	[0.05,0.1)
COV012580	COV002807	0.0711565024486208	[0.05,0.1)
COV025514	COV002807	0.0837135322924951	[0.05,0.1)
COV028678	COV002807	0.171612741199615	[0.15,0.2)
COV028693	COV002807	0.129755975053367	[0.1,0.15)
COV000423	COV007337	0.0585994726047466	[0.05,0.1)
COV002807	COV007337	0.0627851492193713	[0.05,0.1)
COV007337	COV007337	0	[0,0.05)
COV011905	COV007337	0.0627851492193713	[0.05,0.1)
COV012580	COV007337	0.0418567661462475	[0,0.05)
COV025514	COV007337	0.0544137959901218	[0.05,0.1)
COV028678	COV007337	0.150684358126491	[0.15,0.2)
COV028693	COV007337	0.108827591980244	[0.1,0.15)
COV000423	COV011905	0.0795278556778703	[0.05,0.1)
COV002807	COV011905	0.0837135322924951	[0.05,0.1)
COV007337	COV011905	0.0627851492193713	[0.05,0.1)
COV011905	COV011905	0	[0,0.05)
COV012580	COV011905	0.0711565024486208	[0.05,0.1)
COV025514	COV011905	0.0837135322924951	[0.05,0.1)
COV028678	COV011905	0.171612741199615	[0.15,0.2)
COV028693	COV011905	0.129755975053367	[0.1,0.15)
COV000423	COV012580	0.0669708258339961	[0.05,0.1)
COV002807	COV012580	0.0711565024486208	[0.05,0.1)
COV007337	COV012580	0.0418567661462475	[0,0.05)
COV011905	COV012580	0.0711565024486208	[0.05,0.1)
COV012580	COV012580	0	[0,0.05)
COV025514	COV012580	0.0376710895316228	[0,0.05)
COV028678	COV012580	0.159055711355741	[0.15,0.2)
COV028693	COV012580	0.117198945209493	[0.1,0.15)
COV000423	COV025514	0.0795278556778703	[0.05,0.1)
COV002807	COV025514	0.0837135322924951	[0.05,0.1)
COV007337	COV025514	0.0544137959901218	[0.05,0.1)
COV011905	COV025514	0.0837135322924951	[0.05,0.1)
COV012580	COV025514	0.0376710895316228	[0,0.05)
COV025514	COV025514	0	[0,0.05)
COV028678	COV025514	0.171612741199615	[0.15,0.2)
COV028693	COV025514	0.129755975053367	[0.1,0.15)
COV000423	COV028678	0.163241387970365	[0.15,0.2)
COV002807	COV028678	0.171612741199615	[0.15,0.2)
COV007337	COV028678	0.150684358126491	[0.15,0.2)
COV011905	COV028678	0.171612741199615	[0.15,0.2)
COV012580	COV028678	0.159055711355741	[0.15,0.2)
COV025514	COV028678	0.171612741199615	[0.15,0.2)
COV028678	COV028678	0	[0,0.05)
COV028693	COV028678	0.192541124272739	[0.15,0.2)
COV000423	COV028693	0.125570298438743	[0.1,0.15)
COV002807	COV028693	0.129755975053367	[0.1,0.15)
COV007337	COV028693	0.108827591980244	[0.1,0.15)
COV011905	COV028693	0.129755975053367	[0.1,0.15)
COV012580	COV028693	0.117198945209493	[0.1,0.15)
COV025514	COV028693	0.129755975053367	[0.1,0.15)
COV028678	COV028693	0.192541124272739	[0.15,0.2)
COV028693	COV028693	0	[0,0.05)
